,name,company,year,Price,kms_driven,fuel_type
0,Jeep Compass 2.0,Jeep,2017,1002999,86226,Diesel
1,Renault Duster RXZ,Renault,2021,1283000,13248,Petrol
2,Toyota Camry 2.5,Toyota,2016,1639999,60343,Petrol
3,Honda Jazz VX,Honda,2018,777000,26696,Petrol
4,Volkswagen Polo 1.2,Volkswagen,2016,515000,69414,Petrol
5,Volkswagen Vento 1.2,Volkswagen,2017,766000,49719,Petrol
6,Volkswagen Vento 1.2,Volkswagen,2017,758000,43688,Petrol
7,Honda WR-V VX,Honda,2021,1160000,14470,Diesel
8,Honda City i,Honda,2015,699000,21429,Petrol
9,Renault Duster Petrol,Renault,2017,753000,31750,Petrol
10,Maruti Baleno 1.2,Maruti,2017,643000,38203,Petrol
11,Honda City i,Honda,2014,543000,110284,Petrol
12,Mahindra XUV300 W6,Mahindra,2020,861999,10381,Petrol
13,Jeep Compass 1.4,Jeep,2019,1678000,32378,Petrol
14,Honda City V,Honda,2020,1002999,38906,Petrol
15,Hyundai Grand i10,Hyundai,2016,563000,59313,Petrol
16,Hyundai i20 1.4,Hyundai,2017,667000,85672,Diesel
17,Maruti Ciaz 1.4,Maruti,2017,673000,34971,Petrol
18,Nissan Micra XL,Nissan,2015,321000,35894,Petrol
19,Maruti Ciaz Alpha,Maruti,2019,850000,56000,Petrol
20,Maruti Swift Dzire,Maruti,2014,434000,56568,Petrol
21,Renault KWID RXT,Renault,2017,311000,48872,Petrol
22,Renault KWID RXL,Renault,2019,370000,17346,Petrol
23,Jeep Compass 2.0,Jeep,2019,1588000,15414,Diesel
24,Hyundai Grand i10,Hyundai,2018,541000,21239,Petrol
25,Maruti Alto K10,Maruti,2014,223000,62361,Petrol
26,Hyundai Verna 1.6,Hyundai,2015,588000,79329,Petrol
27,Hyundai Tucson GLS,Hyundai,2021,2278000,11945,Petrol
28,Maruti Swift Dzire,Maruti,2018,612000,51324,Petrol
29,Nissan Magnite XV,Nissan,2021,744000,5717,Petrol
30,Honda City i,Honda,2016,839000,46417,Petrol
31,Honda Amaze S,Honda,2015,420000,100161,Petrol
32,Hyundai Grand i10,Hyundai,2016,491000,35424,Petrol
33,Hyundai EON Era,Hyundai,2017,293000,51085,Petrol
34,Maruti Alto 800,Maruti,2016,298000,30983,Petrol
35,Renault KWID RXL,Renault,2016,260000,32681,Petrol
36,Hyundai EON Magna,Hyundai,2014,238000,57581,Petrol
37,Honda Jazz 1.2,Honda,2016,605000,39821,Petrol
38,Maruti Alto 800,Maruti,2018,323000,21186,Petrol
39,Renault KWID RXL,Renault,2018,326000,34972,Petrol
40,Honda Amaze S,Honda,2015,421000,46623,Petrol
41,Kia Seltos GTX,Kia,2019,1553000,18557,Petrol
42,Jeep Compass 2.0,Jeep,2017,1243000,58463,Diesel
43,MG Hector Plus,MG,2020,1850000,5000,Petrol
44,Tata Harrier XZ,Tata,2019,1590000,66000,Diesel
45,Renault Duster Petrol,Renault,2019,890000,14000,Petrol
46,BMW 5 Series,BMW,2019,4300000,61000,Diesel
47,Hyundai i20 1.4,Hyundai,2017,600000,65392,Diesel
48,Mercedes-Benz CLA 200,Mercedes-Benz,2018,2700000,37000,Petrol
49,Maruti XL6 Zeta,Maruti,2020,1090000,9000,Petrol
50,Hyundai Grand i10,Hyundai,2017,590000,32000,Petrol
51,Mahindra XUV500 W8,Mahindra,2012,650000,68000,Diesel
52,Hyundai i20 Magna,Hyundai,2017,675000,13000,Petrol
53,Datsun RediGO AMT,Datsun,2020,370000,30000,Petrol
54,Honda Brio VX,Honda,2015,525000,34300,Petrol
55,Honda City i,Honda,2015,725000,45000,Petrol
56,Toyota Corolla Altis,Toyota,2014,850000,37000,Petrol
57,Jeep Compass 1.4,Jeep,2018,1400000,50000,Petrol
58,Volvo XC60 D4,Volvo,2015,1500000,105241,Diesel
59,Toyota Corolla Altis,Toyota,2019,1390000,54000,Petrol
60,Hyundai Verna VTVT,Hyundai,2019,890000,19600,Petrol
61,Audi A4 2.0,Audi,2015,1689999,48000,Diesel
62,Audi Q3 2.0,Audi,2012,1390000,69500,Diesel
63,BMW 5 Series,BMW,2012,1500000,71000,Diesel
64,Porsche Cayenne S,Porsche,2014,4500000,48894,Diesel
65,Maruti A-Star Zxi,Maruti,2008,153000,46257,Petrol
66,Ford Ecosport 1.5,Ford,2015,509000,78264,Diesel
67,Honda Jazz 1.2,Honda,2016,546000,42451,Petrol
68,Volkswagen Vento Diesel,Volkswagen,2012,273000,131861,Diesel
69,Maruti Wagon R,Maruti,2012,180000,128004,Petrol
70,Chevrolet Beat Diesel,Chevrolet,2012,110000,150349,Diesel
71,Maruti Wagon R,Maruti,2017,369000,29033,Petrol
72,BMW 3 Series,BMW,2015,1350000,99000,Diesel
73,Renault KWID RXL,Renault,2018,275000,47000,Petrol
74,Maruti Baleno 1.3,Maruti,2018,550000,35000,Diesel
75,Mercedes-Benz C-Class C,Mercedes-Benz,2013,975000,58000,Diesel
76,Honda City S,Honda,2012,400000,48000,Petrol
77,Honda Amaze VX,Honda,2014,475000,45000,Petrol
78,Hyundai EON D,Hyundai,2012,190000,60000,Petrol
79,Hyundai i20 Magna,Hyundai,2014,465000,23000,Petrol
80,Hyundai Grand i10,Hyundai,2019,459999,45000,Petrol
81,Hyundai i10 Magna,Hyundai,2014,325000,45000,Petrol
82,Maruti Ertiga VDI,Maruti,2013,525000,58000,Diesel
83,Hyundai i20 1.2,Hyundai,2018,625000,48000,Petrol
84,BMW 2 Series,BMW,2021,4000000,18000,Petrol
85,Skoda Kushaq 1.0,Skoda,2022,1675000,16000,Petrol
86,Honda City i-VTEC,Honda,2019,1000000,24000,Petrol
87,MG Hector Plus,MG,2021,1789999,36000,Diesel
88,Jeep Compass 1.4,Jeep,2019,1390000,35000,Petrol
89,Honda Amaze E,Honda,2019,610000,64000,Petrol
90,Maruti Vitara Brezza,Maruti,2017,775000,72000,Diesel
91,Hyundai Grand i10,Hyundai,2015,459999,29900,Petrol
92,Mahindra XUV700 AX5,Mahindra,2022,2091000,20000,Diesel
93,Tata Indigo VX,Tata,2013,310000,160000,Diesel
94,Tata Tiago XZ,Tata,2020,565000,16000,Petrol
95,Honda WR-V i-VTEC,Honda,2019,900000,17000,Petrol
96,Lexus NX 300h,Lexus,2018,4200000,111000,Petrol
97,Mercedes-Benz M-Class ML,Mercedes-Benz,2015,2850000,38000,Diesel
98,Honda Jazz 1.5,Honda,2015,550000,32000,Diesel
99,Volkswagen Polo 1.2,Volkswagen,2015,450000,67000,Petrol
100,Ford Ecosport 1.5,Ford,2016,675000,50000,Petrol
101,Maruti Swift VDI,Maruti,2010,180000,110000,Diesel
102,Hyundai Verna VTVT,Hyundai,2017,775000,51000,Petrol
103,Hyundai Grand i10,Hyundai,2017,550000,83000,Diesel
104,Audi Q3 35,Audi,2016,2400000,38000,Diesel
105,Hyundai Creta 1.6,Hyundai,2018,1325000,58000,Diesel
106,Hyundai Creta 1.6,Hyundai,2018,1100000,36000,Petrol
107,Volkswagen Vento 1.0,Volkswagen,2020,1050000,23500,Petrol
108,Hyundai i20 1.2,Hyundai,2017,650000,60000,Petrol
109,Skoda Superb LK,Skoda,2018,2500000,18000,Petrol
110,Honda Amaze V,Honda,2017,600000,36500,Petrol
111,Skoda Superb Sportline,Skoda,2021,3100000,25000,Petrol
112,Kia Seltos HTX,Kia,2020,1575000,20500,Petrol
113,Honda Amaze S,Honda,2015,450000,30000,Petrol
114,Hyundai i20 Magna,Hyundai,2017,590000,59000,Petrol
115,BMW X1 sDrive,BMW,2014,1450000,80000,Diesel
116,Hyundai Xcent 1.2,Hyundai,2017,380000,50000,Diesel
117,Tata Harrier XZAS,Tata,2021,2100000,32000,Diesel
118,Hyundai i10 Era,Hyundai,2012,261000,120000,Petrol
119,Land Rover Discovery,Land,2021,11000000,33000,Petrol
120,Mini 3 DOOR,Mini,2019,4200000,6900,Petrol
121,Tata Harrier XZA,Tata,2022,2250000,4500,Diesel
122,Volvo S90 D4,Volvo,2018,4200000,51000,Diesel
123,Kia Seltos GTX,Kia,2022,1975000,12000,Diesel
124,Maruti Vitara Brezza,Maruti,2018,950000,37000,Diesel
125,Hyundai Verna SX,Hyundai,2021,1451000,35000,Diesel
126,Maruti Wagon R,Maruti,2016,300000,80000,Petrol
127,Hyundai Grand i10,Hyundai,2016,459999,60000,Petrol
128,Honda Amaze VX,Honda,2022,915000,10000,Petrol
129,Maruti Ignis Zeta,Maruti,2019,550000,59385,Petrol
130,Jaguar XF 3.0,Jaguar,2012,1700000,51000,Diesel
131,Mahindra XUV500 AT,Mahindra,2017,990000,74000,Diesel
132,Tata Nexon 1.2,Tata,2020,851000,29000,Petrol
133,Jeep Compass Model,Jeep,2021,2750000,12200,Diesel
134,Hyundai Grand i10,Hyundai,2019,550000,40000,Petrol
135,Hyundai Verna CRDi,Hyundai,2018,951000,58000,Diesel
136,Toyota Innova Crysta,Toyota,2019,1989999,75000,Diesel
137,Land Rover Discovery,Land,2018,3550000,72000,Diesel
138,Ford Aspire 1.2,Ford,2017,550000,23400,Petrol
139,Ford Aspire 1.2,Ford,2017,390000,59300,Petrol
140,Hyundai Creta 1.4,Hyundai,2016,890000,72000,Diesel
141,Maruti Swift Dzire,Maruti,2017,451000,67000,Diesel
142,Honda Amaze S,Honda,2018,725000,33500,Petrol
143,Hyundai Creta SX,Hyundai,2021,1275000,17000,Petrol
144,Volkswagen Ameo 1.5,Volkswagen,2016,690000,33000,Diesel
145,Volkswagen Polo GT,Volkswagen,2015,675000,49000,Petrol
146,Hyundai Grand i10,Hyundai,2015,565000,26000,Petrol
147,Hyundai Venue SX,Hyundai,2020,1000000,14500,Petrol
148,Kia Seltos GTX,Kia,2022,1975000,10000,Diesel
149,MG Hector Plus,MG,2020,1700000,15001,Petrol
150,Skoda Octavia Elegance,Skoda,2015,975000,55000,Petrol
151,Toyota Corolla Altis,Toyota,2013,650000,38000,Petrol
152,Ford Endeavour 4x4,Ford,2005,400000,110000,Diesel
153,Honda Amaze S,Honda,2013,475000,65413,Petrol
154,Honda Jazz Mode,Honda,2009,280000,45000,Petrol
155,Ford Figo 1.2P,Ford,2017,430000,44000,Petrol
156,Hyundai Grand i10,Hyundai,2017,490000,40000,Petrol
157,Ford Ecosport 1.5,Ford,2016,651000,49000,Petrol
158,Mahindra Thar LX,Mahindra,2022,1751000,19000,Diesel
159,Hyundai i20 Magna,Hyundai,2013,391000,56000,Diesel
160,Honda City 1.5,Honda,2010,375000,65000,Petrol
161,Toyota Etios G,Toyota,2013,490000,27680,Petrol
162,Kia Seltos GTX,Kia,2021,1825000,27305,Diesel
163,BMW 3 Series,BMW,2019,3300000,10793,Diesel
164,BMW X3 xDrive,BMW,2020,5600000,12000,Diesel
165,MG Hector Sharp,MG,2019,1499000,44000,Petrol
166,Kia Seltos HTK,Kia,2020,1199000,63000,Petrol
167,Hyundai i20 Sportz,Hyundai,2019,650000,87000,Diesel
168,Maruti Alto LXi,Maruti,2010,190000,61000,Petrol
169,Hyundai i20 Sportz,Hyundai,2016,625000,72000,Diesel
170,Audi A4 2.0,Audi,2015,1651000,70000,Diesel
171,Nissan Micra Diesel,Nissan,2012,225000,58000,Diesel
172,Honda Jazz Active,Honda,2009,130000,90000,Petrol
173,Honda City VX,Honda,2022,1250000,19000,Petrol
174,Toyota Corolla Altis,Toyota,2014,925000,72159,Petrol
175,Ford Ecosport 1.5,Ford,2015,590000,78000,Diesel
176,Ford Ecosport 1.5,Ford,2018,690000,58000,Diesel
177,Ford Ecosport 1.5,Ford,2018,890000,72000,Diesel
178,Land Rover Range,Land,2018,4250000,56000,Diesel
179,Nissan Micra Diesel,Nissan,2012,290000,73000,Diesel
180,Hyundai Creta 1.6,Hyundai,2016,890000,28840,Petrol
181,Maruti Swift Dzire,Maruti,2019,690000,51500,Petrol
182,Maruti S-Presso VXI,Maruti,2020,480000,41370,Petrol
183,Hyundai Creta 1.6,Hyundai,2016,875000,41266,Petrol
184,Hyundai Verna VTVT,Hyundai,2018,990000,31740,Petrol
185,Maruti Ciaz VXi,Maruti,2015,615000,77876,Petrol
186,Skoda Kushaq 1.5,Skoda,2022,2050000,9500,Petrol
187,Hyundai Grand i10,Hyundai,2019,625000,28387,Petrol
188,Mercedes-Benz M-Class ML,Mercedes-Benz,2015,2700000,120000,Diesel
189,Hyundai Grand i10,Hyundai,2017,450000,20000,Petrol
190,Mercedes-Benz C-Class Progressive,Mercedes-Benz,2020,4250000,30686,Diesel
191,Tata Indica eV2,Tata,2013,100000,120000,Diesel
192,Mahindra Bolero Power,Mahindra,2018,600000,184000,Diesel
193,Honda City 1.5,Honda,2009,400000,40000,Petrol
194,Maruti Ciaz Delta,Maruti,2015,625000,55000,Diesel
195,Hyundai Grand i10,Hyundai,2019,575000,38000,Petrol
196,Audi Q3 30,Audi,2017,2350000,40000,Petrol
197,Hyundai Santro GS,Hyundai,2006,135000,60000,Petrol
198,Mahindra Bolero SLX,Mahindra,2009,300000,110000,Diesel
199,Maruti Swift LDI,Maruti,2011,210000,143000,Diesel
200,Tata Indica Aqua,Tata,2012,125000,110000,Diesel
201,Mahindra KUV 100,Mahindra,2017,475000,58000,Diesel
202,Honda City i,Honda,2014,550000,65000,Petrol
203,Tata Harrier XZ,Tata,2021,1700000,50000,Diesel
204,Tata Zest Revotron,Tata,2015,349000,55000,Petrol
205,Land Rover Discovery,Land,2021,7000000,19500,Diesel
206,Mahindra XUV500 AT,Mahindra,2016,925000,78000,Diesel
207,Honda City V,Honda,2010,390000,58000,Petrol
208,Mahindra XUV500 W10,Mahindra,2017,1025000,91000,Diesel
